top_category,effect_kind,intensity,play_type_and_number,amplitude_modulation,autocorrelation,centroid_modulation_depth,chroma_mean,chroma_std,crest_factor,delta_mfcc_10_mean,delta_mfcc_10_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta_mfcc_13_mean,delta_mfcc_13_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta_mfcc_9_mean,delta_mfcc_9_std,energy_decay,harmonic_ratio,inter_peak_interval_variance,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,modulation_energy,post_onset_energy_ratio,rms,secondary_peak_count,spectral_bandwidth,spectral_centroid,spectral_contrast,spectral_flatness,spectral_flux,spectral_flux_variance,spectral_rolloff,sustain_ratio,temporal_centroid,zcr
phase,chorus,100,chord_5,0.0031704306602478027,0.97811586,1408.4432040880079,0.49226173758506775,0.2781028151512146,5.9857826,0.0070261405780911446,1.5500316619873047,0.005863950587809086,1.4454052448272705,0.00423042569309473,1.4276196956634521,0.003216376295313239,1.3593416213989258,-0.027561631053686142,10.069862365722656,-0.036525070667266846,4.663039207458496,-0.030016975477337837,4.263212203979492,-0.021469520404934883,2.525686264038086,-0.012907052412629128,2.1434452533721924,-0.005527563858777285,2.3392319679260254,0.0002866236900445074,1.9094568490982056,0.004424959886819124,1.6512854099273682,0.006696709431707859,1.4411038160324097,-0.00038182703791092353,0.41284105,17.95109623659586,5.0687456130981445,9.189071655273438,-7.216573715209961,9.355385780334473,-7.421877384185791,10.570900917053223,-1.757593035697937,9.593698501586914,-358.1624755859375,150.2198944091797,182.6094207763672,86.10978698730469,-58.10611343383789,41.071231842041016,17.498422622680664,15.701388359069824,39.73875045776367,20.203296661376953,-23.290821075439453,19.11014175415039,-11.09620475769043,13.179104804992676,-2.7358741760253906,11.190735816955566,-3.523805618286133,10.329716682434082,0.5277040600776672,0.9999995,0.060295563,28,2197.8157671995236,2248.361909656178,19.340288397114097,0.008131936192512512,0.9709612131118774,1.156752586364746,4631.324351917614,0.49346858,4.905786788206486,0.0615704
phase,chorus,100,solo_5,0.0023418792989104986,0.9815396,880.3430354613303,0.3777472972869873,0.3022927939891815,8.070565,0.0012592258863151073,2.020650625228882,-0.0009270232985727489,1.9466155767440796,-0.0018957159481942654,1.7619096040725708,-0.0008317054016515613,1.8648027181625366,0.0021134461276233196,11.064484596252441,0.0016511650756001472,6.891188621520996,-0.0010124084074050188,5.27194881439209,-0.002722727134823799,3.0634593963623047,-0.0028013286646455526,2.307039499282837,-0.0019025460351258516,2.746509075164795,-0.0003934490086976439,2.1338281631469727,0.0014392631128430367,1.844517707824707,0.002363749546930194,1.7635068893432617,0.0009517708731714728,0.427698,27.431858758182905,-0.7721262574195862,14.556800842285156,1.1639533042907715,14.263693809509277,-5.127321720123291,12.872965812683105,-4.854216575622559,12.797833442687988,-409.9373779296875,112.23452758789062,177.35276794433594,72.49523162841797,-49.21113586425781,46.48469924926758,-42.59331512451172,26.199745178222656,18.34467315673828,13.168373107910156,-9.076617240905762,15.2741117477417,-24.964414596557617,16.34644317626953,-6.445608139038086,10.890801429748535,-2.315983533859253,12.342229843139648,0.4110408425331116,0.9999996,0.04655023,5,1637.7138347499665,1751.67359145228,19.63488063743039,0.0026780464686453342,1.1647518873214722,2.342381238937378,3116.0993691575245,0.3847823,11.296732719288745,0.054488968
phase,chorus,25,chord_5,0.0012829469051212072,0.9752842,1797.4543342247782,0.4174606502056122,0.28327590227127075,6.7591963,0.010856633074581623,1.4933578968048096,0.011011851020157337,1.2441149950027466,0.008575500920414925,1.3665176630020142,0.006450859364122152,1.3152469396591187,-0.04058045893907547,10.545791625976562,-0.05216939374804497,4.6199564933776855,-0.04032794013619423,4.432175636291504,-0.028342830017209053,1.8497695922851562,-0.01854231394827366,1.2748324871063232,-0.01006598211824894,1.7338879108428955,-0.002814483130350709,1.5155792236328125,0.0029065078124403954,1.5399670600891113,0.007614197209477425,1.26944899559021,-0.00026512843070323626,0.7354534,19.80328798185941,5.182070732116699,9.352814674377441,-8.422684669494629,10.337483406066895,-7.223918914794922,11.784804344177246,1.1202969551086426,11.674928665161133,-427.7156066894531,151.76637268066406,183.8213348388672,85.43380737304688,-54.71295928955078,40.64977264404297,26.09736442565918,14.907330513000488,40.53709411621094,18.123079299926758,-25.666805267333984,18.675146102905273,-8.123235702514648,11.472925186157227,-2.284628391265869,11.347028732299805,-5.469610691070557,11.052671432495117,0.5198096036911011,0.9999997,0.038119905,33,2368.176379485857,2378.1115651509667,21.562970725914724,0.008395849727094173,0.8506060242652893,1.490440011024475,5130.340021306818,0.18771526,4.939394659441938,0.06403371
phase,chorus,25,solo_5,0.0010222942801192403,0.981591,1193.9646989229666,0.3208448588848114,0.30742573738098145,7.8268294,-0.00024068605853244662,1.453490972518921,-0.00036614493001252413,1.6819067001342773,-0.0005117848049849272,1.4275224208831787,-0.0007174212369136512,1.4968297481536865,0.0006205461104400456,9.822145462036133,0.0007742373854853213,5.954148769378662,0.0005846860585734248,4.480493068695068,0.00043313083006069064,2.165642023086548,0.00022012076806277037,2.013115644454956,-0.00011849255679408088,2.0277700424194336,-0.00037538932519964874,1.9388017654418945,-0.0003661001392174512,1.3743374347686768,-0.0002400960511295125,1.4007222652435303,0.0009188258554979936,0.9374607,70.5150218458628,0.07826381921768188,13.086823463439941,2.179365396499634,15.558320045471191,-2.8885931968688965,13.706820487976074,-1.5887887477874756,13.161819458007812,-492.1590270996094,99.48838806152344,161.21018981933594,63.83727264404297,-39.22857666015625,39.74279022216797,-27.295364379882812,18.134292602539062,25.779260635375977,14.443705558776855,-6.4355363845825195,12.235955238342285,-24.401952743530273,15.581252098083496,-7.29799747467041,9.41755199432373,-2.4016706943511963,11.503747940063477,0.4108869433403015,0.9999997,0.030377876,30,1892.7948909070622,1838.2168415171202,22.498560089923842,0.0036111907102167606,1.0254619121551514,3.5594122409820557,3489.5367484452254,0.747546,11.185965423076565,0.054917615
phase,chorus,50,chord_5,0.0013767397031188011,0.97627157,1666.226237265335,0.44212114810943604,0.2800012230873108,6.126996,0.013078927993774414,1.480642318725586,0.011933253146708012,1.0938671827316284,0.007247415836900473,1.2369073629379272,0.0038195191882550716,1.1517386436462402,-0.045309510082006454,10.540566444396973,-0.05731077864766121,4.5849127769470215,-0.042264003306627274,4.3704986572265625,-0.027617497369647026,1.9704698324203491,-0.01618996076285839,1.3636244535446167,-0.006823264993727207,1.7463469505310059,0.00042881627450697124,1.5394479036331177,0.0055796136148273945,1.5959808826446533,0.010026233270764351,1.2561160326004028,-0.0002770758970576367,0.6557306,20.276243649715806,5.776950836181641,9.075821876525879,-10.248945236206055,9.974925994873047,-9.473004341125488,11.546526908874512,-1.5955512523651123,10.862748146057129,-427.4643249511719,159.11668395996094,193.82752990722656,88.55331420898438,-60.461795806884766,43.21294021606445,26.6435489654541,15.248313903808594,42.16523742675781,18.625715255737305,-26.101730346679688,19.13714027404785,-7.150022029876709,11.57158088684082,-2.055898666381836,11.507689476013184,-4.580494403839111,11.030834197998047,0.5140215158462524,0.9999999,0.03949307,43,2324.8270094559384,2335.695329431799,20.754328862007508,0.008087229914963245,0.8501328229904175,1.4067777395248413,5010.112970525568,0.87132376,4.941685585409924,0.06266876
phase,chorus,50,solo_5,0.0010502086952328682,0.9818835,1087.8207180430734,0.33100032806396484,0.3017187714576721,8.873946,-0.00019991619046777487,1.4991917610168457,-0.0007263461593538523,1.6070466041564941,-0.0009973205160349607,1.4547135829925537,-0.00106075219810009,1.4201732873916626,0.0011895442148670554,10.188267707824707,0.0013598712394014,5.956562042236328,0.0007253960357047617,5.066720485687256,0.00025197750073857605,2.2362375259399414,-4.135339258937165e-05,2.008870840072632,-0.0002545650349929929,1.9725338220596313,-0.00021949833899270743,1.8430798053741455,7.390091923298314e-05,1.2987929582595825,0.00017742114141583443,1.4231194257736206,0.0009438046936303688,0.8695144,39.3299141522535,-0.04945432022213936,13.662137985229492,0.9428010582923889,15.466343879699707,-5.677432060241699,14.367106437683105,-4.582961559295654,12.637520790100098,-484.9783630371094,104.53099822998047,170.84579467773438,65.8275375366211,-45.596797943115234,44.186431884765625,-31.512887954711914,19.83761215209961,27.332233428955078,15.166708946228027,-5.844705581665039,12.20409870147705,-24.27452850341797,15.222582817077637,-6.294719219207764,9.198701858520508,-1.929984450340271,11.631828308105469,0.4246903359889984,0.99999964,0.03121416,55,1819.9877242169266,1813.8540390951625,21.609680391063886,0.0034408969804644585,1.051581621170044,3.120328187942505,3392.2380784533375,0.471478,11.3115696198125,0.0536039
phase,chorus,75,chord_5,0.001979456515982747,0.97788566,1540.1472459017373,0.4724760353565216,0.28247731924057007,5.6236687,0.008091023191809654,1.6095364093780518,0.00624240655452013,1.1739052534103394,0.0037716554943472147,1.2452501058578491,0.002550311153754592,1.1914722919464111,-0.03540293499827385,10.158088684082031,-0.04629402980208397,4.6291422843933105,-0.036835767328739166,4.324111461639404,-0.025588814169168472,2.103579044342041,-0.015481019392609596,1.478420376777649,-0.007323236204683781,1.8133351802825928,-0.0007657138048671186,1.6239490509033203,0.00437696510925889,1.495898723602295,0.007570650894194841,1.324028491973877,-0.0003371170384886213,0.53320915,17.130128612646097,5.471012592315674,9.617634773254395,-8.849562644958496,9.428681373596191,-9.312487602233887,11.307455062866211,-1.7295480966567993,10.151639938354492,-393.18133544921875,152.5554962158203,186.24960327148438,86.97411346435547,-57.7009162902832,41.35308837890625,21.607463836669922,14.60986042022705,42.11488723754883,19.50111198425293,-23.992694854736328,18.17730140686035,-9.41108512878418,12.492329597473145,-1.6889264583587646,11.05022144317627,-4.083548069000244,10.869528770446777,0.5149926543235779,0.99999964,0.04760241,41,2261.3865191121117,2279.3467753236505,20.020922908170178,0.008142334409058094,0.8966887593269348,1.3127903938293457,4817.673561789773,0.59920913,4.941348035926665,0.061049595
phase,chorus,75,solo_5,0.001467167166993022,0.9820094,974.5013518371803,0.35245466232299805,0.3062867820262909,7.6865706,0.0004529587458819151,1.6392661333084106,1.1666890713968314e-05,1.8056572675704956,-0.001104366616345942,1.5428930521011353,-0.0020473666954785585,1.6166871786117554,0.0009286925196647644,10.639562606811523,0.0012904239119961858,6.1954755783081055,0.00113014061935246,5.357860088348389,0.0007271289359778166,2.9616940021514893,0.00019029869872611016,2.12608003616333,-0.0002302634238731116,2.1196670532226562,-0.0003635868488345295,1.8159544467926025,-0.00017567057511769235,1.4606751203536987,0.00022203165281098336,1.613782286643982,0.0009493204253617259,0.6711789,34.56197344162057,0.13170285522937775,14.136284828186035,1.5427037477493286,15.935546875,-5.442008018493652,14.013871192932129,-4.497817039489746,13.140127182006836,-457.07049560546875,110.1793441772461,178.68556213378906,69.15507507324219,-50.444271087646484,47.45510482788086,-38.2088623046875,23.932388305664062,24.219894409179688,14.416491508483887,-6.859299182891846,13.250638008117676,-23.896196365356445,15.132956504821777,-5.556252956390381,9.61986255645752,-1.88679039478302,12.468422889709473,0.4088438153266907,0.99999976,0.036744628,107,1727.6357224951616,1783.0787812775584,20.667786751139,0.00313637126237154,1.1304320096969604,2.8182785511016846,3255.2400605492894,0.6276876,11.331731662413691,0.054037377
clean,clean,,chord_5,0.0025094186421483755,0.9768849,1800.8876451186136,0.43285679817199707,0.278856098651886,6.8600936,0.010493254289031029,1.41933012008667,0.009997288696467876,1.0719105005264282,0.005594266578555107,1.1531459093093872,0.0017796321772038937,1.1022993326187134,-0.04659421369433403,10.664219856262207,-0.058900006115436554,4.6054253578186035,-0.043306879699230194,4.496973991394043,-0.028423629701137543,1.8874812126159668,-0.017584800720214844,1.2572959661483765,-0.008922376669943333,1.7232331037521362,-0.0016398477600887418,1.4811745882034302,0.0036361156962811947,1.557339072227478,0.007612917106598616,1.2120466232299805,-0.00030994411626987376,0.7245434,19.06681848765592,5.460019111633301,8.909502029418945,-10.063469886779785,10.046618461608887,-9.164793968200684,11.005953788757324,-1.0870383977890015,10.745366096496582,-399.0720520019531,155.44003295898438,190.76104736328125,86.78361511230469,-55.47272872924805,41.81721496582031,27.946809768676758,15.239906311035156,41.098026275634766,17.84172821044922,-25.704898834228516,18.915515899658203,-6.7131781578063965,11.159592628479004,-1.7396655082702637,11.533151626586914,-4.604101181030273,10.983593940734863,0.4980247914791107,0.99999976,0.052969072,40,2331.4985734879274,2310.4598299855497,21.61460543586171,0.012577919289469719,0.7470058798789978,1.571060061454773,5026.643510298295,0.5617165,4.938953228867006,0.06763981
clean,clean,,solo_5,0.0021094693802297115,0.98175186,1164.1937341412147,0.3278399109840393,0.3011299967765808,7.940948,-0.0003970279358327389,1.3964729309082031,-0.0009466237388551235,1.5513980388641357,-0.0010074193123728037,1.3163858652114868,-0.0009211173746734858,1.364068865776062,0.0006474894471466541,9.93307876586914,0.0007084114477038383,5.939138889312744,0.0004057866462972015,4.537802219390869,0.0003718834777828306,2.1172895431518555,0.0004149909655097872,1.962138295173645,0.0003160422493238002,2.119565486907959,0.00029641471337527037,1.8719301223754883,0.00042125763138756156,1.2642557621002197,0.0002445331774652004,1.384676218032837,0.0009431304818034719,0.9466395,76.29025824770146,-0.21237428486347198,13.242060661315918,0.8550029397010803,15.102348327636719,-5.525518417358398,13.485053062438965,-3.9907729625701904,12.518481254577637,-466.8498840332031,102.4829330444336,170.26947021484375,65.30046844482422,-40.78017807006836,40.66624069213867,-27.32192611694336,17.6496639251709,26.796031951904297,14.538382530212402,-7.497145175933838,12.947519302368164,-24.27266502380371,15.078947067260742,-6.485731601715088,8.821026802062988,-2.610553741455078,11.506982803344727,0.2952754497528076,0.99999994,0.041213028,3,1825.7192069040175,1782.1124948660351,22.659787055415357,0.004458015318959951,0.9353018999099731,3.9080941677093506,3387.620018203415,0.7592142,11.32633160609216,0.05808357
