feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
spectral_flux_variance,2.7395771145820618,0.7061293330043554,3.49125177686616,1.7330783859549335,0.33014401140452426,3.49125177686616,,,,
spectral_flatness,0.0085179673042148,0.002245857791422119,3.381869458939045,1.5405818325270029,0.3645751232673347,3.381869458939045,,,,
centroid_modulation_depth,1482.5406896299141,974.8661513069435,2.230318442151256,1.5745769182106173,0.3512620699213354,2.230318442151256,,,,
inter_peak_interval_variance,47.67853836767869,19.436837324784115,1.8276036771508049,0.9816282146549229,0.5030349130539292,1.8276036771508049,,,,
spectral_bandwidth,2078.6088901959724,1654.6727420374325,1.5407447877853901,1.620162073518291,0.3282041458509896,1.5407447877853901,,,,
spectral_centroid,2046.2861624257926,1698.532242522974,1.5007859531194323,1.2889892310603224,0.4068684195794094,1.5007859531194323,,,,
energy_decay,0.00031659318276680006,0.0026553786080575187,-1.4342518100910417,-3.107216988170043,0.0867612858501595,1.4342518100910417,,,,
spectral_flux,0.8411538898944855,0.7574870251119137,1.3940059611400597,0.880453420027002,0.5360524450323036,1.3940059611400597,,,,
crest_factor,7.4005208,6.412122925,1.3643624318516276,1.7347918484249703,0.2956635233596563,1.3643624318516276,,,,
spectral_rolloff,4207.131764250855,3380.5432131563975,1.272300201869065,0.9921224598894199,0.493962695334894,1.272300201869065,,,,
zcr,0.06286169,0.055464706375000006,1.2564178685540872,1.4808513222650077,0.3486441245949497,1.2564178685540872,,,,
amplitude_modulation,0.002309444011189,0.0014672253437310562,0.8425316505516294,2.5835201989130536,0.041766784638657795,0.8425316505516294,,,,
secondary_peak_count,21.5,50.9375,-0.799496835106948,-1.4199674080955735,0.3218129973371447,0.799496835106948,,,,
sustain_ratio,0.66046535,0.4645939173125,0.7839819759894225,1.6654705812947863,0.23843835372242114,0.7839819759894225,,,,
modulation_energy,0.39665012061595917,0.33546218555420637,0.5700745714720978,0.5844887293019162,0.6534950574027065,0.5700745714720978,,,,
autocorrelation,0.97931838,0.981338345,-0.5223132725414051,-0.7706890464509436,0.5532634376782243,0.5223132725414051,,,,
harmonic_ratio,0.8355914499999999,0.79451276,0.3456439690754454,0.3579437124604231,0.7752839252755851,0.3456439690754454,,,,
rms,0.047091049999999995,0.042002131875,0.3183094405877904,0.710484576933449,0.5459803846083132,0.3183094405877904,,,,
post_onset_energy_ratio,0.99999985,0.99999984,0.052916349409560075,0.09799527069344417,0.9325389233965724,0.052916349409560075,,,,
temporal_centroid,8.132642417479582,8.214893571953546,-0.026119502898954143,-0.02505637885797596,0.9837228865971953,0.026119502898954143,,,,
