feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
mfcc_6_mean,,,-7.710126401228839,-9.204978882082237,0.007752157775071937,7.710126401228839,,,2.0,4.0
amplitude_modulation,,,-5.166558857367304,-8.70408968707362,0.001980465243702145,5.166558857367304,,,2.0,4.0
crest_factor,,,4.992600968451019,4.25479426745121,0.1141395892521027,4.992600968451019,,,2.0,4.0
mfcc_12_std,,,3.775073988933984,4.489389978298918,0.03738212875847816,3.775073988933984,,,2.0,4.0
rms,,,-3.709608968215125,-5.576313884427981,0.0052413239824394275,3.709608968215125,,,2.0,4.0
mfcc_13_std,,,3.6949443683266936,5.210696388776476,0.008932536417887205,3.6949443683266936,,,2.0,4.0
mfcc_5_mean,,,3.5909684246283646,3.8630182006553206,0.07405343871389355,3.5909684246283646,,,2.0,4.0
mfcc_13_mean,,,-3.4646284126192,-4.244962924759462,0.036232764914205656,3.4646284126192,,,2.0,4.0
delta_mfcc_1_std,,,-3.368636011018329,-5.101398007132155,0.007082507638454009,3.368636011018329,,,2.0,4.0
mfcc_2_mean,,,3.3032765107962234,3.539244775123276,0.08632589731315982,3.3032765107962234,,,2.0,4.0
mfcc_1_mean,,,-3.071339818478121,-3.4751189640047055,0.07495965798496039,3.071339818478121,,,2.0,4.0
mfcc_7_std,,,3.0119683080050565,4.210759144541179,0.018192454225460904,3.0119683080050565,,,2.0,4.0
mfcc_12_mean,,,-2.3608940820292985,-1.785805082296185,0.31419404955687047,2.3608940820292985,,,2.0,4.0
mfcc_9_std,,,2.1649851886827776,1.9673336366323502,0.2502612551649929,2.1649851886827776,,,2.0,4.0
delta_mfcc_7_mean,,,-2.108567850935584,-1.8777906837912681,0.2677115103528786,2.108567850935584,,,2.0,4.0
mfcc_6_std,,,2.01858018123652,2.305221082845098,0.14626158083655302,2.01858018123652,,,2.0,4.0
spectral_bandwidth,,,-2.000711717004957,-2.4523817104309877,0.11166733206213467,2.000711717004957,,,2.0,4.0
delta_mfcc_10_std,,,1.9184582883523,1.7185764908186667,0.29156929032771556,1.9184582883523,,,2.0,4.0
delta_mfcc_7_std,,,1.8770299858041453,1.5872229029363811,0.32747253214918204,1.8770299858041453,,,2.0,4.0
delta_mfcc_2_std,,,-1.7979293120628042,-2.535585187174106,0.07213714249174863,1.7979293120628042,,,2.0,4.0
autocorrelation,,,1.7421276111586248,2.076885706336323,0.15898794740979144,1.7421276111586248,,,2.0,4.0
sustain_ratio,,,-1.7001703910176376,-2.14098106056526,0.13505410743925864,1.7001703910176376,,,2.0,4.0
mfcc_10_std,,,1.56624540114755,1.3368324756008525,0.37931661180804266,1.56624540114755,,,2.0,4.0
spectral_centroid,,,-1.4676898072578226,-1.7653507038250773,0.20261786732642414,1.4676898072578226,,,2.0,4.0
delta_mfcc_13_mean,,,1.447800115765544,2.0883541717507415,0.11015562401131636,1.447800115765544,,,2.0,4.0
mfcc_11_std,,,1.3587391776784077,1.1928773867709943,0.41174017185266043,1.3587391776784077,,,2.0,4.0
delta_mfcc_9_std,,,1.149614852996522,1.282677601945178,0.33304828116425095,1.149614852996522,,,2.0,4.0
secondary_peak_count,,,1.1046341505214272,0.8504425297653371,0.5428681144416545,1.1046341505214272,,,2.0,4.0
spectral_flux,,,-1.1023762405178243,-1.3682743585012753,0.2808450180702597,1.1023762405178243,,,2.0,4.0
modulation_energy,,,-1.0923616168202077,-1.0623959355346415,0.4325985734273162,1.0923616168202077,,,2.0,4.0
spectral_rolloff,,,-1.050976205185759,-1.189296872975829,0.3575233371258733,1.050976205185759,,,2.0,4.0
delta_mfcc_8_mean,,,-1.0348918639826503,-1.3969967110440609,0.25214855988560875,1.0348918639826503,,,2.0,4.0
mfcc_3_std,,,1.0323453424693212,1.3222959671188583,0.28563274260670535,1.0323453424693212,,,2.0,4.0
mfcc_10_mean,,,-1.0188392905310077,-0.9922476273893835,0.45673158608331677,1.0188392905310077,,,2.0,4.0
delta_mfcc_6_std,,,1.0002606986943747,0.8247693018668463,0.5450624440350083,1.0002606986943747,,,2.0,4.0
post_onset_energy_ratio,,,0.9739811731717639,1.6765026303965924,0.18959934186891603,0.9739811731717639,,,2.0,4.0
mfcc_3_mean,,,-0.9617117241897406,-1.2880268830782886,0.28533510105395077,0.9617117241897406,,,2.0,4.0
delta_mfcc_11_std,,,0.8829077104280778,0.8961256212463111,0.48594078832861076,0.8829077104280778,,,2.0,4.0
mfcc_8_std,,,0.8658342367374096,1.3324914841274185,0.2535425369431559,0.8658342367374096,,,2.0,4.0
mfcc_2_std,,,0.8627311739508046,0.6855092492000608,0.6077532337082816,0.8627311739508046,,,2.0,4.0
mfcc_8_mean,,,-0.8089390279627371,-0.864328719758691,0.4899465076143895,0.8089390279627371,,,2.0,4.0
spectral_contrast,,,0.749879348105136,0.9944346261502905,0.3928558637839071,0.749879348105136,,,2.0,4.0
delta_mfcc_5_std,,,-0.7496295166135317,-1.1421203487266003,0.3172729326116568,0.7496295166135317,,,2.0,4.0
mfcc_1_std,,,-0.7201524854948617,-0.7904972218586994,0.5180438335776163,0.7201524854948617,,,2.0,4.0
delta_mfcc_13_std,,,0.6974714464818347,0.9031375472528483,0.43675393096993465,0.6974714464818347,,,2.0,4.0
delta_mfcc_6_mean,,,-0.6597587500947795,-0.5605545388845778,0.6616123610517933,0.6597587500947795,,,2.0,4.0
mfcc_4_mean,,,-0.5342865805270858,-0.4558406775178627,0.716936777310122,0.5342865805270858,,,2.0,4.0
delta_mfcc_12_std,,,0.5119932863421134,0.650318936423182,0.566962317626959,0.5119932863421134,,,2.0,4.0
mfcc_4_std,,,0.4663081812706933,0.8070625139065266,0.47848966431764123,0.4663081812706933,,,2.0,4.0
mfcc_7_mean,,,0.45180286127764036,0.3983103834796313,0.7474148988313231,0.45180286127764036,,,2.0,4.0
delta_mfcc_12_mean,,,0.45070331830545,0.4012924292373966,0.7450691511332416,0.45070331830545,,,2.0,4.0
mfcc_11_mean,,,-0.442246531857318,-0.49397702381999,0.6720531412879956,0.442246531857318,,,2.0,4.0
delta_mfcc_3_std,,,0.4351873763351377,0.5759417304041429,0.6049764454025571,0.4351873763351377,,,2.0,4.0
spectral_flatness,,,-0.3247000024793398,-0.40057053216862276,0.7208271195751998,0.3247000024793398,,,2.0,4.0
mfcc_9_mean,,,-0.30593801774047674,-0.3008029686418287,0.8002584313476306,0.30593801774047674,,,2.0,4.0
harmonic_ratio,,,0.30162199822945285,0.35271029459050673,0.7559990123668766,0.30162199822945285,,,2.0,4.0
delta_mfcc_1_mean,,,0.3005751164866573,0.3803382524037703,0.7321232836044046,0.3005751164866573,,,2.0,4.0
spectral_flux_variance,,,-0.27918884667305777,-0.338325924265337,0.7629922407672757,0.27918884667305777,,,2.0,4.0
