category,feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
drive,amplitude_modulation,,,,,3.43640280761214e-05,,0.9759000729485332,8.0,,
drive,crest_factor,,,,,0.0009161801973082115,,-0.9271050693011065,8.0,,
drive,rms,,,,,0.0009161801973082115,,0.9271050693011065,8.0,,
drive,spectral_bandwidth,,,,,0.010857954728721152,,0.8295150620062534,8.0,,
drive,autocorrelation,,,,,0.022214514665634257,,-0.7807200583588266,8.0,,
drive,secondary_peak_count,,,,,0.08102035156249998,,-0.65,8.0,,
drive,sustain_ratio,,,,,0.09116266392027378,,0.6343350474165467,8.0,,
drive,spectral_centroid,,,,,0.09116266392027378,,0.6343350474165467,8.0,,
drive,temporal_centroid,,,,,0.21994381924181858,,-0.4879500364742666,8.0,,
drive,modulation_energy,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
drive,harmonic_ratio,,,,,0.21994381924181858,,-0.4879500364742666,8.0,,
drive,energy_decay,,,,,0.21994381924181858,,-0.4879500364742666,8.0,,
drive,spectral_flux,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
drive,spectral_rolloff,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
drive,spectral_flatness,,,,,0.21994381924181858,,0.4879500364742666,8.0,,
drive,post_onset_energy_ratio,,,,,0.2441160373765076,,-0.4663366589901251,8.0,,
drive,spectral_flux_variance,,,,,0.40763373853312024,,0.3415650255319867,8.0,,
drive,centroid_modulation_depth,,,,,0.6432255386372303,,-0.19518001458970666,8.0,,
drive,inter_peak_interval_variance,,,,,0.8181772027352759,,-0.09759000729485333,8.0,,
drive,zcr,,,,,1.0,,0.0,8.0,,
space,rms,,,,,1.846563497950116e-05,,0.8610014688789821,16.0,,
space,amplitude_modulation,,,,,0.00013099075314777192,,0.8124943438717155,16.0,,
space,spectral_flux_variance,,,,,0.00013099075314777192,,-0.8124943438717155,16.0,,
space,inter_peak_interval_variance,,,,,0.021164984445793907,,-0.5699587188353825,16.0,,
space,sustain_ratio,,,,,0.05684830142796841,,-0.48507125007266594,16.0,,
space,energy_decay,,,,,0.06429378290389041,,0.47294446882084934,16.0,,
space,centroid_modulation_depth,,,,,0.11250965188359542,,-0.41231056256176607,16.0,,
space,harmonic_ratio,,,,,0.13747790979820187,,-0.38805700005813276,16.0,,
space,zcr,,,,,0.15128243296793142,,-0.3759302188063161,16.0,,
space,spectral_flux,,,,,0.15128243296793142,,-0.3759302188063161,16.0,,
space,spectral_flatness,,,,,0.15128243296793142,,-0.3759302188063161,16.0,,
space,spectral_centroid,,,,,0.2157419343615793,,-0.32742309379904955,16.0,,
space,spectral_bandwidth,,,,,0.2157419343615793,,-0.32742309379904955,16.0,,
space,crest_factor,,,,,0.2741175674192571,,-0.2910427500435996,16.0,,
space,spectral_rolloff,,,,,0.2741175674192571,,-0.2910427500435996,16.0,,
space,autocorrelation,,,,,0.2955112361589246,,0.27891596879178293,16.0,,
space,modulation_energy,,,,,0.2955112361589246,,-0.27891596879178293,16.0,,
space,post_onset_energy_ratio,,,,,0.37995832503358773,,0.2354849230875219,16.0,,
space,temporal_centroid,,,,,0.5598217157905656,,0.15764815627361645,16.0,,
space,secondary_peak_count,,,,,0.7884047989588011,,0.07292172205869737,16.0,,
phase,amplitude_modulation,,,,,1.0459383433239718e-06,,0.9095085938862487,16.0,,
phase,harmonic_ratio,,,,,0.0005705638563412,,-0.763987218864449,16.0,,
phase,rms,,,,,0.0007822295552021923,,0.7518604376126322,16.0,,
phase,spectral_flux,,,,,0.012774437952690768,,0.6063390625908325,16.0,,
phase,inter_peak_interval_variance,,,,,0.0909007300989828,,-0.43656412506539943,16.0,,
phase,spectral_flux_variance,,,,,0.11250965188359542,,-0.41231056256176607,16.0,,
phase,crest_factor,,,,,0.2536911881531959,,-0.30316953129541624,16.0,,
phase,spectral_centroid,,,,,0.2955112361589246,,-0.27891596879178293,16.0,,
phase,spectral_flatness,,,,,0.3178674173225785,,-0.2667891875399663,16.0,,
phase,centroid_modulation_depth,,,,,0.3178674173225785,,-0.2667891875399663,16.0,,
phase,secondary_peak_count,,,,,0.34081022520935944,,-0.2548498648385896,16.0,,
phase,sustain_ratio,,,,,0.3654303385914638,,-0.24253562503633297,16.0,,
phase,spectral_bandwidth,,,,,0.3654303385914638,,-0.24253562503633297,16.0,,
phase,modulation_energy,,,,,0.390609563016337,,0.23040884378451632,16.0,,
phase,spectral_rolloff,,,,,0.47149737345813825,,-0.19402850002906638,16.0,,
phase,autocorrelation,,,,,0.5598217157905656,,0.15764815627361645,16.0,,
phase,zcr,,,,,0.6546001692975567,,0.12126781251816648,16.0,,
phase,post_onset_energy_ratio,,,,,0.8738396947550474,,-0.04318027059486031,16.0,,
phase,energy_decay,,,,,0.9644472503316939,,0.012126781251816649,16.0,,
phase,temporal_centroid,,,,,0.9644472503316939,,-0.012126781251816649,16.0,,
