feature,mean_clean,mean_effected,cohen_d,tstat,pval,abs_cohen
inter_peak_interval_variance,47.67853836767869,28.3096729216742,0.9916817604427351,0.6733739423978519,0.6207949044416547,0.9916817604427351
spectral_contrast,22.137196245638535,20.752127482218402,0.9207716736747094,2.4082852071896292,0.18183466899495151,0.9207716736747094
crest_factor,7.4005208,5.858008402499999,0.8302829785974398,2.501671559785662,0.1518278680959483,0.8302829785974398
delta_mfcc_3_std,4.517388105392456,3.640382868051529,0.75887087763585,4.7106084652543485,3.001485749793892e-05,0.75887087763585
secondary_peak_count,21.5,43.15,-0.740765349415819,-1.1352151407534417,0.44240465562420317,0.740765349415819
mfcc_13_std,11.63192367553711,9.780541276931762,0.6893601600365843,1.8798729370436253,0.23914803124060008,0.6893601600365843
mfcc_2_std,76.04204177856445,68.80530271530151,0.6813248076697148,0.6658397696851616,0.6218420287350604,0.6813248076697148
zcr,0.06286169,0.05861626959999999,0.6775308786672107,0.8700818747818915,0.5345163744372294,0.6775308786672107
delta_mfcc_8_mean,0.0020286866638343,-0.004398583752299607,0.6704428517378981,2.8926434715681544,0.05088673836697692,0.6704428517378981
mfcc_12_std,12.245503425598145,10.456351828575134,0.66130452647273,1.363344781767211,0.36704410215505284,0.66130452647273
mfcc_3_std,41.24172782897949,38.30710344314575,0.643989260599995,3.1585862025992935,0.01807886348787044,0.643989260599995
delta_mfcc_2_mean,-0.02909579733386635,0.02772870636945298,-0.6140869596566934,-1.708122286903873,0.26436503576934156,0.6140869596566934
delta_mfcc_12_mean,0.00229342363309115,-0.0004396411171910451,0.5861548712632841,0.8080810390146659,0.5569173142871315,0.5861548712632841
delta_mfcc_7_mean,-0.00067171652335675,-0.00697618993744981,0.5753935608713274,3.14660915393315,0.006948500050268293,0.5753935608713274
mfcc_8_mean,-4.112698554992676,-6.146800718083978,0.5747256247836556,0.8342333216377943,0.545453649422484,0.5747256247836556
mfcc_1_mean,-432.9609680175781,-366.07912216186526,-0.5743503219706915,-1.7299517544079477,0.24808652614616733,0.5743503219706915
spectral_flatness,0.0085179673042148,0.005767276808910487,0.5689137675248015,0.6659371484185159,0.61987601424648,0.5689137675248015
energy_decay,0.00031659318276680006,0.0012112378435488276,-0.5443675144393971,-1.317220354182347,0.3648502350777189,0.5443675144393971
delta_mfcc_1_mean,-0.022973362123593702,0.057823153751269264,-0.5378374382806744,-2.3973192060619546,0.07403710863858476,0.5378374382806744
delta_mfcc_1_std,10.298649311065674,8.645443379878998,0.528144972763652,2.6653965420669135,0.02989916032385715,0.528144972763652
post_onset_energy_ratio,0.99999985,0.9999997227499999,0.5131635082203407,1.2942795691864275,0.3666014595907084,0.5131635082203407
mfcc_4_std,16.444785118103027,18.273312592506407,-0.5020199955913867,-1.3666895672634052,0.33928234406225455,0.5020199955913867
delta_mfcc_2_std,5.272282123565674,4.455218347907066,0.49077941185436064,1.1383341207466104,0.4185263022540839,0.49077941185436064
harmonic_ratio,0.8355914499999999,0.7610780845,0.48738980314614183,0.6556682259629588,0.6225210594419421,0.48738980314614183
mfcc_6_std,15.931517601013184,14.342788982391358,0.4782555338996392,0.5244790438654101,0.6883457965345274,0.4782555338996392
spectral_flux_variance,2.7395771145820618,1.9715106032788754,0.4713210905299703,0.6418914424114122,0.6286685984068493,0.4713210905299703
mfcc_11_std,12.574483394622805,11.070768892765045,0.46384993331896995,0.5830550158558135,0.6577903709465454,0.46384993331896995
sustain_ratio,0.66046535,0.546475542575,0.4593568854558004,1.0714833426975467,0.439089455664708,0.4593568854558004
delta_mfcc_6_std,1.9213992953300476,1.6988197684288024,0.4522166515573316,1.0442584252726597,0.4488332014780397,0.4522166515573316
centroid_modulation_depth,1482.5406896299141,1295.3266611965723,0.44494675724163474,0.5756910989147771,0.6610098028077475,0.44494675724163474
amplitude_modulation,0.002309444011189,0.03299753794781277,-0.4286283856024293,-2.676376813703243,0.010824888647622074,0.4286283856024293
rms,0.047091049999999995,0.11932814292500002,-0.4271913178958773,-2.6071618152435065,0.012832393822672556,0.4271913178958773
delta_mfcc_12_std,1.234765887260437,1.1140450626611709,0.42070210312775386,1.289485854500474,0.3431432174748527,0.42070210312775386
mfcc_5_mean,33.94702911376953,28.793432956933977,0.4009057656156797,0.6929710921043425,0.6000415428046069,0.4009057656156797
delta_mfcc_13_mean,0.0004292574012652,-0.0014185574553266449,0.3974357224614931,1.198909421145228,0.37170719482773085,0.3974357224614931
spectral_flux,0.8411538898944855,0.9078406736254692,-0.3779907256242509,-0.6788333492973548,0.6053399257553777,0.3779907256242509
mfcc_5_std,16.19005537033081,15.07706801891327,0.35972944913652066,0.6458233546592638,0.6207151742600865,0.35972944913652066
delta_mfcc_9_mean,0.0039287251420319,0.0019387874894164028,0.340594318769578,0.5238286451428384,0.684505280170144,0.340594318769578
delta_mfcc_5_mean,-0.008584904877352549,-0.0037886746034928227,-0.3231456706043499,-0.5155661763955878,0.6881537209597759,0.3231456706043499
delta_mfcc_11_mean,0.0045253324788063504,0.0025909117588980768,0.29828551467362224,0.3475314462224785,0.7840547505712684,0.29828551467362224
mfcc_12_mean,-7.345156192779541,-6.443514531105757,-0.29635089994917685,-0.4789339503268759,0.7073099668876124,0.29635089994917685
delta_mfcc_6_mean,-0.00430316721030975,-0.008026877198244598,0.2797069244566133,0.732336085351815,0.562999698239837,0.2797069244566133
delta_mfcc_10_std,1.4079015254974365,1.307772596180439,0.2785131466187265,1.7060619980628329,0.09580393142446678,0.2785131466187265
modulation_energy,0.39665012061595917,0.4263669740408659,-0.2569016239003884,-0.2885439039205079,0.8188755947822602,0.2569016239003884
delta_mfcc_13_std,1.2331840991973877,1.1521613404154778,0.25596433585491724,0.5775856218481398,0.6465145800039027,0.25596433585491724
mfcc_9_std,11.245288372039795,10.621282303333283,0.255456244812312,1.326196005911491,0.2165325353176677,0.255456244812312
mfcc_7_mean,-15.492921590805054,-17.61754058599472,0.24028217974251345,0.23905375727927256,0.8491604423554792,0.24028217974251345
delta_mfcc_7_std,1.6765523552894592,1.5644814506173135,0.23304579803893807,0.5339536877746808,0.6687904166697735,0.23304579803893807
mfcc_3_mean,-48.1264533996582,-50.49641537666321,0.2168503254877648,0.31401595400226423,0.8020687089221474,0.2168503254877648
mfcc_10_std,11.075781345367432,10.487173640727997,0.2145835090085914,0.2664589955356959,0.8316275794876244,0.2145835090085914
mfcc_2_mean,180.5152587890625,185.93551597595214,-0.20326429627221773,-0.4885804233731073,0.6916996973832491,0.20326429627221773
delta_mfcc_10_mean,0.005048113176599149,0.006424174157837091,-0.19176949179776684,-0.24742021645904277,0.8429945424154018,0.19176949179776684
mfcc_7_std,13.119269847869873,12.665266990661621,0.17346536978523205,0.22668845360481454,0.8556538187941634,0.17346536978523205
mfcc_1_std,128.96148300170898,124.21661319732667,0.1500437927665631,0.1761160401725192,0.8875201057383748,0.1500437927665631
mfcc_6_mean,-16.601022005081177,-15.025006099045276,-0.14399434478938744,-0.1700986071809121,0.8912727668788408,0.14399434478938744
delta_mfcc_5_std,1.6097171306610107,1.6882480844855308,-0.1428361773340504,-0.21631972138000413,0.8612447902558242,0.1428361773340504
delta_mfcc_11_std,1.311654269695282,1.26635752171278,0.13972614629371594,0.18477219588248478,0.8816675528386282,0.13972614629371594
autocorrelation,0.97931838,0.9798056267499999,-0.12728406441331538,-0.19427845103616737,0.8749938082863503,0.12728406441331538
mfcc_10_mean,2.6238224133849144,2.147028339561075,0.11840981977845683,0.16402759548060164,0.8945373993745854,0.11840981977845683
spectral_rolloff,4207.131764250855,4087.210437480165,0.11462007369529006,0.14345578165744183,0.9079043586507252,0.11462007369529006
chroma_std,0.2899930477142334,0.28840351328253744,0.11374587929396161,0.14001588364865836,0.9101307278003788,0.11374587929396161
delta_mfcc_4_std,2.002385377883911,2.084284082055092,-0.08724141134508609,-0.4329527735747909,0.6783861636942257,0.08724141134508609
mfcc_9_mean,-3.607327461242676,-3.3573855314403773,-0.08383720955699282,-0.22626993368107043,0.8478540064322939,0.08383720955699282
delta_mfcc_4_mean,-0.01402587311167735,-0.012938293279512413,-0.06254956190031333,-0.0742100391161037,0.9522049353726006,0.06254956190031333
spectral_centroid,2046.2861624257926,2020.5007927386055,0.06118350628534922,0.09462761917698712,0.93853195402235,0.06118350628534922
delta_mfcc_3_mean,-0.021450546526466448,-0.02373658778378739,0.0598619318883142,0.10078582280054683,0.9342739002185336,0.0598619318883142
delta_mfcc_9_std,1.2983614206314087,1.3180863797664641,-0.046766822042157465,-0.18004821245310423,0.8703480569544855,0.046766822042157465
mfcc_11_mean,-4.6042334735393515,-4.386456807423383,-0.040846380040956184,-0.039437074036167065,0.9746867204594262,0.040846380040956184
spectral_bandwidth,2078.6088901959724,2060.4837248784197,0.03537189007009617,0.06821312349266676,0.9550601311411854,0.03537189007009617
mfcc_8_std,10.177089214324951,10.08201756477356,0.0335403214968426,0.0665216665936719,0.9560817172814553,0.0335403214968426
mfcc_13_mean,-2.538905680179596,-2.46398169901222,-0.032053582915494455,-0.05000144321654132,0.9674415233347944,0.032053582915494455
chroma_mean,0.3803483545780182,0.3814458571374416,-0.016964798583057106,-0.02051885566382698,0.9867560416368981,0.016964798583057106
temporal_centroid,8.132642417479582,8.083719259501372,0.015642436953509996,0.015143230059534461,0.9902754134634082,0.015642436953509996
delta_mfcc_8_std,1.4107974171638489,1.4176486998796463,-0.013167253316874121,-0.0406627645414926,0.9717319848871477,0.013167253316874121
mfcc_4_mean,0.312441825866701,0.35545538663864135,-0.0013655181739873274,-0.0015321767924578787,0.9990128905171379,0.0013655181739873274
