category,feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
drive,amplitude_modulation,,,-5.166558857367304,-8.70408968707362,0.001980465243702145,5.166558857367304,,,2.0,4.0
drive,crest_factor,,,4.992600968451019,4.25479426745121,0.1141395892521027,4.992600968451019,,,2.0,4.0
drive,rms,,,-3.709608968215125,-5.576313884427981,0.0052413239824394275,3.709608968215125,,,2.0,4.0
drive,spectral_bandwidth,,,-2.000711717004957,-2.4523817104309877,0.11166733206213467,2.000711717004957,,,2.0,4.0
drive,autocorrelation,,,1.7421276111586248,2.076885706336323,0.15898794740979144,1.7421276111586248,,,2.0,4.0
drive,sustain_ratio,,,-1.7001703910176376,-2.14098106056526,0.13505410743925864,1.7001703910176376,,,2.0,4.0
drive,spectral_centroid,,,-1.4676898072578226,-1.7653507038250773,0.20261786732642414,1.4676898072578226,,,2.0,4.0
drive,secondary_peak_count,,,1.1046341505214272,0.8504425297653371,0.5428681144416545,1.1046341505214272,,,2.0,4.0
drive,spectral_flux,,,-1.1023762405178243,-1.3682743585012753,0.2808450180702597,1.1023762405178243,,,2.0,4.0
drive,modulation_energy,,,-1.0923616168202077,-1.0623959355346415,0.4325985734273162,1.0923616168202077,,,2.0,4.0
drive,spectral_rolloff,,,-1.050976205185759,-1.189296872975829,0.3575233371258733,1.050976205185759,,,2.0,4.0
drive,post_onset_energy_ratio,,,0.9739811731717639,1.6765026303965924,0.18959934186891603,0.9739811731717639,,,2.0,4.0
drive,spectral_flatness,,,-0.3247000024793398,-0.40057053216862276,0.7208271195751998,0.3247000024793398,,,2.0,4.0
drive,harmonic_ratio,,,0.30162199822945285,0.35271029459050673,0.7559990123668766,0.30162199822945285,,,2.0,4.0
drive,spectral_flux_variance,,,-0.27918884667305777,-0.338325924265337,0.7629922407672757,0.27918884667305777,,,2.0,4.0
drive,energy_decay,,,0.21382755784337498,0.2216867016743067,0.849048734490579,0.21382755784337498,,,2.0,4.0
drive,centroid_modulation_depth,,,0.20543592171994904,0.19882727049251883,0.8666962312148093,0.20543592171994904,,,2.0,4.0
drive,temporal_centroid,,,0.10987123867413022,0.11276540032856809,0.9226803201835265,0.10987123867413022,,,2.0,4.0
drive,inter_peak_interval_variance,,,0.00034711125190944447,0.00036596478969415407,0.999746424388972,0.00034711125190944447,,,2.0,4.0
drive,zcr,,,0.0,0.0,1.0,0.0,,,2.0,4.0
space,rms,,,-1.8423783436616215,-3.4699564499791298,0.0072519164147581885,1.8423783436616215,,,4.0,8.0
space,inter_peak_interval_variance,,,1.7310068639566663,1.9972198732725461,0.13433786658644853,1.7310068639566663,,,4.0,8.0
space,spectral_flux_variance,,,1.6617532068107936,1.8627087969160154,0.15705596395582358,1.6617532068107936,,,4.0,8.0
space,amplitude_modulation,,,-1.4473213063522936,-3.0184095462329363,0.012947043120294226,1.4473213063522936,,,4.0,8.0
space,sustain_ratio,,,1.0454537212424893,2.2274565533671975,0.05048240521293451,1.0454537212424893,,,4.0,8.0
space,spectral_flux,,,1.0370084804071553,1.3810200628351128,0.240623573099528,1.0370084804071553,,,4.0,8.0
space,energy_decay,,,-0.8806279696259368,-1.810367284246647,0.10036354844122357,0.8806279696259368,,,4.0,8.0
space,spectral_bandwidth,,,0.8636863727371819,1.5182588512975272,0.17035760444367198,0.8636863727371819,,,4.0,8.0
space,spectral_centroid,,,0.7934198979095161,1.5090531852291382,0.16546789842956344,0.7934198979095161,,,4.0,8.0
space,centroid_modulation_depth,,,0.7675617357918766,1.7170084455512566,0.12064745004780521,0.7675617357918766,,,4.0,8.0
space,zcr,,,0.6954287620331749,1.3288751662974678,0.21619536277786316,0.6954287620331749,,,4.0,8.0
space,autocorrelation,,,-0.6524044012644123,-1.182284134965646,0.27088119802136,0.6524044012644123,,,4.0,8.0
space,spectral_rolloff,,,0.6236389657712945,1.0899829050153476,0.3103732738934035,0.6236389657712945,,,4.0,8.0
space,harmonic_ratio,,,0.545171483749693,0.8875892652733848,0.40865984502555114,0.545171483749693,,,4.0,8.0
space,modulation_energy,,,0.5117640195504279,0.9065558374659451,0.39257894873214066,0.5117640195504279,,,4.0,8.0
